week,margin_short,margin_long,ratio
2025-05-16,0.0,27.0,
2025-05-23,0.0,30.0,
2025-05-30,0.0,29.5,
2025-06-06,0.0,36.2,
2025-06-13,0.0,35.1,
2025-06-20,0.0,30.9,
2025-07-04,0.0,27.4,
2025-07-11,0.0,27.5,
2025-07-18,0.0,24.5,
2025-07-25,0.0,24.7,
2025-08-01,0.0,24.6,
2025-08-08,0.0,30.9,
2025-08-15,0.0,27.8,
2025-08-22,0.0,28.0,
2025-08-29,0.0,28.1,
2025-09-05,0.0,29.7,
2025-09-12,0.0,62.0,
2025-09-19,0.0,69.8,
2025-09-26,0.0,70.5,
2025-10-03,0.0,73.4,
2025-10-10,0.0,74.2,
2025-10-17,0.0,75.7,
2025-10-24,0.0,79.0,
2025-10-31,0.0,53.1,
2025-11-07,0.0,53.8,
2025-11-14,0.0,51.3,
2025-11-21,0.0,49.4,
2025-11-28,0.0,50.6,
2025-12-05,0.0,46.5,
2025-12-12,0.0,44.5,
2025-12-19,0.0,43.8,
2025-12-26,0.0,41.0,
2026-01-09,0.0,41.4,
2026-01-16,0.0,40.6,
2026-01-23,0.0,40.4,
2026-01-30,0.0,38.3,
2026-02-06,0.0,39.0,
2026-02-13,0.0,39.2,
2026-02-20,0.0,37.8,
2026-02-27,0.0,46.4,
2026-03-06,0.0,47.7,
2026-03-13,0.0,73.5,
2026-03-19,0.0,69.7,
2026-03-20,0.0,69700.0,
2026-03-27,0.0,69.6,
2026-04-03,0.0,69.4,
2026-04-10,0.0,65.3,
2026-04-17,0.0,64.8,
2026-04-24,0.0,66.0,
2026-05-01,0.0,66.3,
2026-05-15,0.0,67.1,
2026-05-22,0.0,67.5,
2026-05-29,0.0,68.2,
2026-07-17,0.0,69.3,
2026-07-24,0.0,69.4,
2026-07-31,0.0,69.4,
2026-08-07,0.0,69.2,
2026-08-14,0.0,69.8,
2026-08-21,0.0,70.1,
2026-08-28,0.0,68.8,
